Банк,IBT,IBT (Virtual),Душанбе Сити,Бакай Банк,Мбанк,Айыл Банк,Freedom (Virtual),Альфа-банк (Virtual)
Страна,Таджикистан,Таджикистан,Таджикистан,Киргизия,Киргизия,Киргизия,Казахстан,Беларусь
Сроки изготовления,14 дней,14 дней,1-2 дня рабочих дня,до 3 недель,до 3 недель,до 3 недель,до 5 дней,до 5 дней
Цена,39 990 руб.,22 990 руб.,"Gold 39 990 руб. 
Platinum 44 990 руб.",37 990 руб.,24 990 руб.,24 990 руб.,29 990 руб.,9 999 руб.
Доверенность,нет,нет,нет,да,да,да,нет,нет
Документы,загранпаспорт,загранпаспорт,загранпаспорт,загранпаспорт или внутренний паспорт,загранпаспорт,загранпаспорт,загранпаспорт,загранпаспорт
Платёжная система,Visa,Visa,Visa,Visa,Visa,Visa,Visa,MasterCard
Платёжная валюта,USD или EUR,USD или EUR,TJS,USD,USD или EUR,USD или EUR,"KZT, USD, EUR, RUB",USD
Доп. счета,,,,,,,,
SWIFT,Входящие,Входящие,нет,нет,нет,нет,нет,нет
Срок действия,5 лет,1 год,3 года,5 лет,5 лет,5 лет,1 год,
Российский номер телефона,да,да,да,да,да,да,да,да
Кредитный бин,да,нет (виртуалка),нет,да,да,да,нет (виртуалка),нет (виртуалка)
Стоимость обслуживания,"Visa Platinum – 60$ сразу за пол года, далее 5$ в месяц",Visa Virtual – 50$/год,"Visa Gold — 1,5$ в месяц 
Visa Platinum — 3$ в месяц","Visa Gold — 20$
Visa Infinite — 150$ в год","Visa Gold — 100$ 
Platinum — 250$ 
Infinite — 450$ + депозиты","Годовое обслуживание 25$ или 25€
Несжигаемый остаток 10$ или 10€",Бесплатно,250 BYN
Пополнение из России,"ТБанк, Сбер, Газпромбанк, SWIFT",по номеру телефона/OSON/перевод по реквизитам,"FastPay, Сбер, ТБанк",по реквизитам из РФ,по реквизитам из РФ,по реквизитам из РФ,"СБП (Цифра Банк), по реквизитам из РФ",
Приложение на русском языке,да,да,да,да,да,да,да,да
